(168,85,163)
(169,205,165)
(170,460,162)
(171,400,160)
(172,101,164)
(173,424,167)
(174,424,170)
(175,463,173)
(176,287,168)
(177,146,172)
(178,315,169)
(179,287,171)
(180,279,174)
(181,245,177)
(182,56,175)
(183,100,176)
(184,220,180)
(185,104,178)
(186,505,181)
(187,421,179)
(188,146,182)
(189,315,183)
(190,463,184)
(191,1,184)
(192,486,185)
(193,356,186)
(194,512,187)
(195,486,188)
(196,209,189)
(197,512,190)
(198,486,191)
(199,36,194)
(200,328,196)
(201,199,192)
(202,489,193)
(203,133,195)
(204,447,195)
(205,65,197)
(206,379,198)
(207,379,200)
(208,216,199)
(209,199,201)
(210,199,202)
(211,288,203)
(212,475,204)
(213,27,205)
(214,481,206)
(215,18,207)
(216,485,208)
(217,36,209)
(218,489,210)
(219,215,211)
(220,215,212)
(221,36,213)
(222,485,214)
(223,481,215)
(224,512,216)
(225,485,217)
(226,215,219)
(227,356,220)
(228,485,221)
(229,475,218)
(230,288,222)
(231,475,223)
(232,18,226)
(233,209,228)
(234,11,224)
(235,11,225)
(236,11,230)
(237,216,227)
(238,65,229)
(239,27,231)
(240,328,232)
(241,27,237)
(242,191,233)
(243,191,234)
(244,191,236)
(245,188,235)
(246,219,239)
(247,158,238)
(248,158,240)
(249,493,243)
(250,493,246)
(251,434,241)
(252,123,244)
(253,188,242)
(254,279,247)
(255,123,245)
(256,219,251)
(257,279,249)
(258,443,254)
(259,365,252)
(260,71,248)
(261,325,255)
(262,61,253)
(263,6,250)
(264,129,258)
(265,518,261)
(266,325,256)
(267,431,257)
(268,480,259)
(269,414,260)
(270,517,262)
(271,480,263)
(272,480,270)
(273,16,264)
(274,414,265)
(275,414,266)
(276,252,267)
(277,252,268)
(278,155,269)
(279,414,271)
(280,414,272)
(281,155,275)
(282,175,276)
(283,175,277)
(284,173,273)
(285,370,274)
(286,370,279)
(287,340,278)
(288,341,280)
(289,370,282)
(290,370,283)
(291,332,284)
(292,370,285)
(293,370,286)
(294,340,281)
(295,16,287)
(296,332,288)
(297,155,293)
(298,155,294)
(299,517,292)
(300,341,289)
(301,8,291)
(302,173,290)
(303,173,295)
(304,173,296)
(305,173,298)
(306,529,301)
(307,211,297)
(308,81,299)
(309,34,300)
(310,448,302)
(311,81,304)
(312,448,307)
(313,448,309)
(314,378,303)
